Epoch,Training Loss,Validation Loss
1,0.01038353517651558,0.002812558552250266
2,0.005966841243207455,0.001547308056615293
3,0.005609176587313414,0.001756549347192049
4,0.005509594921022654,0.0015350828180089593
5,0.005308767780661583,0.0015925902407616377
6,0.005321227479726076,0.0016988599672913551
7,0.005346974823623896,0.0016534071182832122
8,0.005274220835417509,0.0015938628930598497
9,0.005384174175560474,0.0015800503315404058
10,0.005086469929665327,0.0017310756957158446
11,0.005313229747116566,0.0016516203759238124
12,0.005547472275793552,0.001657819957472384
13,0.0052879261784255505,0.0015822711866348982
14,0.005308229010552168,0.0015901003498584032
